tier,year_month,median_pace,p25,p75,run_count,athlete_count,avg_runs_per_athlete
Mid (2-3x/wk),2013-12-01,6.16170724376315,6.002829974549545,6.640377119028194,29,77,0.37662337662337664
Mid (2-3x/wk),2014-01-01,5.946484007665178,5.655723970625981,6.286257743064907,34,77,0.44155844155844154
Mid (2-3x/wk),2014-02-01,6.027863019856717,5.5166017762267945,6.44325416736933,24,77,0.3116883116883117
Mid (2-3x/wk),2014-03-01,5.830073064262403,5.213574620283981,6.556367941021349,42,77,0.5454545454545454
Mid (2-3x/wk),2014-04-01,5.6948984014939175,5.190974551063901,6.323698145992419,50,77,0.6493506493506493
Mid (2-3x/wk),2014-05-01,6.221672240145745,5.566429784807821,6.815172192747914,49,77,0.6363636363636364
Mid (2-3x/wk),2014-06-01,5.806235419969325,5.180378672191559,6.375522741128221,43,77,0.5584415584415584
Mid (2-3x/wk),2014-07-01,6.051230516123189,5.380594409014382,6.677733886656572,58,77,0.7532467532467533
Mid (2-3x/wk),2014-08-01,5.731935205894598,5.290791054244105,6.2868228193706,81,77,1.051948051948052
Mid (2-3x/wk),2014-09-01,5.584873895166251,4.827386311461324,6.091900311526481,45,77,0.5844155844155844
Mid (2-3x/wk),2014-10-01,5.205759384151535,4.704021318141358,6.136000653152775,62,77,0.8051948051948052
Mid (2-3x/wk),2014-11-01,5.661953759467671,5.143955947650777,5.959572559013542,47,77,0.6103896103896104
Mid (2-3x/wk),2014-12-01,5.466389922114219,5.065114369611109,6.001625750267577,79,77,1.025974025974026
Mid (2-3x/wk),2015-01-01,5.546487012411028,5.182724422261985,6.051393413888334,74,77,0.961038961038961
Mid (2-3x/wk),2015-02-01,5.549124118692167,4.970531566695086,6.382611369416184,67,77,0.8701298701298701
Mid (2-3x/wk),2015-03-01,5.8410402810628135,5.1825723671696595,6.460502142951876,82,77,1.0649350649350648
Mid (2-3x/wk),2015-04-01,5.591658874786436,5.132293208034002,6.315959703429945,94,77,1.2207792207792207
Mid (2-3x/wk),2015-05-01,5.510456792796916,4.932984167715031,6.977708745427226,112,77,1.4545454545454546
Mid (2-3x/wk),2015-06-01,5.946190553616109,5.258201856119072,6.644449124886443,90,77,1.1688311688311688
Mid (2-3x/wk),2015-07-01,5.699808522057461,5.2641940201063715,6.471533316373961,83,77,1.077922077922078
Mid (2-3x/wk),2015-08-01,5.8417870171405735,5.398371750735109,6.8528252909213645,119,77,1.5454545454545454
Mid (2-3x/wk),2015-09-01,5.664768036982004,5.052937509766499,6.164798930181621,152,77,1.974025974025974
Mid (2-3x/wk),2015-10-01,5.477403633141338,4.8903579887817195,6.0975325382407455,155,77,2.012987012987013
Mid (2-3x/wk),2015-11-01,5.581431377978193,5.109163000045431,5.989700374531836,139,77,1.8051948051948052
Mid (2-3x/wk),2015-12-01,5.5056700813625055,5.046721971498661,6.099463372020467,141,77,1.8311688311688312
Mid (2-3x/wk),2016-01-01,5.628082784421863,5.1493899399221,6.185675917903611,170,77,2.207792207792208
Mid (2-3x/wk),2016-02-01,5.5671313793339685,5.122874496647232,6.217497979554478,192,77,2.4935064935064934
Mid (2-3x/wk),2016-03-01,5.519789194085703,5.012583238316227,6.014290100369429,208,77,2.7012987012987013
Mid (2-3x/wk),2016-04-01,5.6441984152827525,5.117265457259686,6.287652536016411,223,77,2.896103896103896
Mid (2-3x/wk),2016-05-01,5.714746519004355,5.168833414668818,6.536032082063992,213,77,2.7662337662337664
Mid (2-3x/wk),2016-06-01,5.523865975430803,4.857983884083213,6.315634137354457,238,77,3.090909090909091
